系列	产品名	产品介绍	参考市场定价，中国国内定价	跨境电商定价（欧元€）
宴席	蓝印花布包裹餐具套组	包含筷子、勺子、刀叉，餐具柄部为实木材质，外部包裹蓝印花布纹样贴片（纹样为 “回纹”“万字纹”）；配套抽绳式蓝印花布袋，印 “吉祥如意” 纹样	69-129 元 / 套	9.9-18.5€/ 套
宴席	纹样陶瓷餐具系列	含餐盘、汤碗、茶杯等，表面采用釉下彩工艺印制 “冰裂纹”“缠枝莲” 等蓝印花布经典纹样，色调为靛蓝与米白搭配	159-399 元 / 套	22.8-57.2€/ 套
宴席	饮品容器系列 - 玻璃杯	玻璃杯身印蓝印花布 “水波纹”“云纹”，配套可拆卸蓝印花布杯套（方便隔热）	49-89 元 / 个	7.0-12.8€/ 个
宴席	饮品容器系列 - 茶壶 / 茶罐	陶瓷材质，壶身、罐身印蓝白纹样，配套茶托为蓝印花布包裹实木材质	129-299 元 / 个	18.5-42.9€/ 个
宴席	宴席主题纪念相框	边框为实木材质，外层包裹蓝印花布吉祥云纹贴片，可用于宾客合影后即时打印放入	89-159 元 / 个	12.9-22.9€/ 个
宴席	定制化迎宾茶歇套装	包含蓝印花布纹样茶杯、茶碟、印花布茶巾（印有宴席主题文字），配套浅靛蓝印花布桌布、蓝白纹样点心托盘	299-599 元 / 套	42.9-85.9€/ 套
宴席	伴手礼礼盒	主体为蓝印花布包裹硬纸盒，盒面印 “喜”“福” 纹样与祥云纹组合，内部搭配蓝印花布周边小产品（纹样手帕、香包、茶杯垫等）+ 当地特色美食	199-499 元 / 盒	28.6-71.6€/ 盒
宴席	蓝印花布靠枕	纹样为 “大团花”“缠枝纹”，适配实木沙发或中式座椅	59-99 元 / 个	8.5-14.2€/ 个
宴席	嘉宾休息区桌布	蓝印花布纹样设计，适配休息区茶几	69-129 元 / 块	9.9-18.5€/ 块
				
空间装饰	餐桌用品（餐具、茶壶）	青花与蓝印花布意境呼应，瓷质餐具釉色清润，盘身浅绘山水纹理。器型简约趁手，盛餐时既衬食物色泽，又藏着中式美学的含蓄韵致，日常用餐也能品出雅致氛围感，是烟火气里的国风小确幸。	268 元 / 套	39.99€/ 套
空间装饰	沙发靠垫	以蓝印花布为料，白底晕染清雅荷纹，靛蓝底色衬出中式禅意。适配浅灰布艺沙发，触感柔糯透气，既添空间国风层次，又能舒缓倚靠时的腰背压力，是现代居家中藏着古韵的舒适点缀。	98 元 / 个	14.99€/ 个
空间装饰	床品三件套	青蓝调蓝印花布床品，浅纹竹枝舒展于素净面料上，质感亲肤垂顺。搭配木质床具，铺展后满是清雅国风氛围，睡感柔软透气，晨起时仿佛裹着江南晨雾的松弛，让寝居既具格调又裹满舒适。	428 元 / 套	64.99€/ 套
空间装饰	窗帘	蓝染花绫质地的蓝印花布窗帘，清雅花纹晕染其上，透光时光影朦胧如江南烟雨。挂于木格窗前，既柔化强光又保隐私，风吹帘动时，古韵与温柔裹满空间，是中式居家中藏着诗意的软装利器。	298元/对	44.99€/ 对
空间装饰	蓝印花布收纳筐	以传统国风蓝白花卉纹为设计，采用透气耐磨的棉麻面料，大容量可收纳衣物、杂物，搭配编织手提绳方便移动，既是客厅 / 卧室的整理利器，也能作为国风家居装饰，实用与颜值兼备。	35元/个	8.99€/ 个
空间装饰	蓝印花布木式台灯	精选天然实木框架，搭配传统蓝白缠枝纹印花布艺灯罩，复古国风韵味十足。暖光透过透气面料柔和散射，不刺眼更护目，适配卧室、书房或茶室场景，既是照明利器，也是国风家居的点睛装饰，兼具实用与收藏感。	189元/个	29.99€/个
空间装饰	蓝印花布屏风隔断	采用实木榫卯骨架 + 双层蓝印花布面板，印花选取经典莲纹 / 云纹，蓝白相映尽显东方雅致。可折叠设计方便收纳，既能划分空间、遮挡隐私，又能为客厅、茶室增添国风氛围，实用性与装饰性兼具。	399元/个	59.99€/个
空间装饰	蓝印花布笔筒	以实木为底座，包裹传统蓝白缠枝莲纹印花布艺，国风清雅韵味扑面而来。筒身尺寸适配日常笔、便签等桌面小物，摆于书桌、茶桌既能规整文具，又能成为中式软装的精巧点缀，小巧精致，实用与雅致兼顾。	45元/个	9.99€/个
空间装饰	鼠标垫	选用防滑橡胶底 + 棉麻蓝印花布面，触感亲肤耐磨，印花选取传统团花缠枝纹，蓝白清雅尽显国风韵味。尺寸适配常规鼠标操作，办公、游戏场景均适用，既是顺手的桌面外设，也能为书桌增添中式雅致细节，实用与颜值兼具。	45元/个	9.99€/个
空间装饰	蓝印花布壁纸	萃取传统蓝印花布经典纹样（缠枝莲、云纹），采用环保无纺布基材 + 防水耐磨印花层，蓝白清雅自带东方禅意。质感温润不反光，易铺贴易打理，适配客厅背景墙、卧室、茶室等空间，既能打造沉浸式国风家居氛围，又兼顾日常使用实用性，让传统美学融入生活细节。	99元/平方米	16.99€/平方米
